Roll Number,7EE19
Score (%),10.00

Question Number,Student Answer,Correct Answer,Result
1,Blank,B,Incorrect
2,Blank,D,Incorrect
3,Blank,A,Incorrect
4,Blank,C,Incorrect
5,Blank,B,Incorrect
6,B,A,Incorrect
7,Blank,B,Incorrect
8,Blank,C,Incorrect
9,Blank,D,Incorrect
10,Blank,A,Incorrect
11,B,B,Correct
12,Blank,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,Blank,B,Incorrect
16,Blank,A,Incorrect
17,Error,D,Incorrect
18,Blank,C,Incorrect
19,Blank,B,Incorrect
20,Blank,A,Incorrect
21,Blank,B,Incorrect
22,Blank,C,Incorrect
23,B,"A, C",Incorrect
24,Blank,D,Incorrect
25,Blank,B,Incorrect
26,C,A,Incorrect
27,Blank,C,Incorrect
28,B,D,Incorrect
29,Blank,B,Incorrect
30,Blank,A,Incorrect
31,B,D,Incorrect
32,Blank,C,Incorrect
33,Blank,B,Incorrect
34,Blank,A,Incorrect
35,B,B,Correct
36,Blank,C,Incorrect
37,Blank,A,Incorrect
38,Blank,D,Incorrect
39,Blank,B,Incorrect
40,A,C,Incorrect
41,A,A,Correct
42,Error,B,Incorrect
43,Error,D,Incorrect
44,C,C,Correct
45,Error,A,Incorrect
46,C,B,Incorrect
47,Blank,D,Incorrect
48,A,A,Correct
49,Blank,C,Incorrect
50,B,B,Correct
51,Blank,D,Incorrect
52,Blank,A,Incorrect
53,C,B,Incorrect
54,Blank,C,Incorrect
55,Blank,D,Incorrect
56,Blank,A,Incorrect
57,Blank,B,Incorrect
58,A,C,Incorrect
59,Blank,D,Incorrect
60,Blank,A,Incorrect
