Roll Number,0136E
Score (%),10.00

Question Number,Student Answer,Correct Answer,Result
1,Blank,B,Incorrect
2,Blank,D,Incorrect
3,C,A,Incorrect
4,Blank,C,Incorrect
5,Blank,B,Incorrect
6,A,A,Correct
7,B,B,Correct
8,D,C,Incorrect
9,Blank,D,Incorrect
10,Blank,A,Incorrect
11,A,B,Incorrect
12,C,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,Blank,B,Incorrect
16,Blank,A,Incorrect
17,B,D,Incorrect
18,Blank,C,Incorrect
19,Blank,B,Incorrect
20,Blank,A,Incorrect
21,Blank,B,Incorrect
22,Blank,C,Incorrect
23,B,"A, C",Incorrect
24,Blank,D,Incorrect
25,Blank,B,Incorrect
26,Blank,A,Incorrect
27,Blank,C,Incorrect
28,A,D,Incorrect
29,C,B,Incorrect
30,Blank,A,Incorrect
31,B,D,Incorrect
32,Blank,C,Incorrect
33,A,B,Incorrect
34,C,A,Incorrect
35,Blank,B,Incorrect
36,B,C,Incorrect
37,Blank,A,Incorrect
38,Blank,D,Incorrect
39,B,B,Correct
40,Blank,C,Incorrect
41,Blank,A,Incorrect
42,B,B,Correct
43,B,D,Incorrect
44,Blank,C,Incorrect
45,Blank,A,Incorrect
46,Blank,B,Incorrect
47,Blank,D,Incorrect
48,A,A,Correct
49,C,C,Correct
50,A,B,Incorrect
51,C,D,Incorrect
52,Blank,A,Incorrect
53,Blank,B,Incorrect
54,B,C,Incorrect
55,C,D,Incorrect
56,Blank,A,Incorrect
57,Blank,B,Incorrect
58,B,C,Incorrect
59,Blank,D,Incorrect
60,Blank,A,Incorrect
